location_id,datetime,hour,day_of_week,month,aqi_value_no2,aqi_value_o3,aqi_value_pm25,concentration_no2,concentration_o3,concentration_pm25,overall_aqi,season_encoded,overall_aqi,overall_aqi_category
162,2025-07-22 06:00:00+00:00,-0.7825390772139078,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.47607224326524644,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 07:00:00+00:00,-0.6374460116662122,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.41573127491415207,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 08:00:00+00:00,-0.4923529461185167,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.41573127491415207,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 09:00:00+00:00,-0.34725988057082113,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.47607224326524644,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 10:00:00+00:00,-0.2021668150231256,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.5364132116163408,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 11:00:00+00:00,-0.05707374947543009,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.6570951483185296,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 12:00:00+00:00,0.08801931607226544,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.9587999900740013,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 13:00:00+00:00,0.23311238161996098,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-1.0794819267761901,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 14:00:00+00:00,0.3782054471676565,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.5967541799674352,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 15:00:00+00:00,0.523298512715352,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.05368546480758576,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 16:00:00+00:00,0.6683915782630476,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,0.48938325035226343,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 17:00:00+00:00,0.8134846438107431,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,0.730747123756641,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 18:00:00+00:00,0.9585777093584387,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,0.9117700288099242,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 19:00:00+00:00,1.103670774906134,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,0.7910880921077353,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 20:00:00+00:00,1.2487638404538297,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,0.6100651870544523,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-22 23:00:00+00:00,1.6840430370969164,-0.8525190821039027,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,0.18767840859679175,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-23 00:00:00+00:00,-1.653097470500081,-0.33049068482663346,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,0.06699647189460288,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-23 01:00:00+00:00,-1.5080044049523855,-0.33049068482663346,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.11402643315868018,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-23 02:00:00+00:00,-1.36291133940469,-0.33049068482663346,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.17436740150977462,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-23 03:00:00+00:00,-1.2178182738569943,-0.33049068482663346,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.35539030656305765,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-23 04:00:00+00:00,-1.0727252083092988,-0.33049068482663346,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.47607224326524644,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-23 05:00:00+00:00,-0.9276321427616033,-0.33049068482663346,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.5364132116163408,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-23 06:00:00+00:00,-0.7825390772139078,-0.33049068482663346,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.5967541799674352,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
162,2025-07-23 07:00:00+00:00,-0.6374460116662122,-0.33049068482663346,0.0,0.0,0.0,-0.7414051598257491,-0.29758156834989175,-0.6570951483185296,-0.7326667140371281,-0.7414051598257491,0.0,0.0,Good
